Rank,Name,NA_Sales,EU_Sales,Global_Sales
2143,Donkey Kong Junior,0.9,0.05,0.97
2144,LEGO Star Wars II: The Original Trilogy,0.75,0.19,0.97
2146,Final Fantasy X / X-2 HD Remaster,0.21,0.31,0.97
2147,Medal of Honor: Underground,0.54,0.37,0.97
2148,The Sims 2,0.82,0.07,0.96
2149,Dark Cloud 2,0.38,0.25,0.96
2150,Jampack Summer '99,0.54,0.36,0.96
2151,PlayStation All-Stars Battle Royale,0.5,0.28,0.96
2152,Dance Dance Revolution 2nd ReMIX,0,0,0.96
2153,Monster High: Ghoul Spirit,0.72,0.17,0.96
2154,Dragon Quest X,0,0,0.96
2155,LEGO Pirates of the Caribbean: The Video Game,0.37,0.49,0.96
2156,Gangs of London,0.3,0.44,0.96
2157,Mortal Kombat Trilogy,0.72,0.22,0.96
2158,Star Soldier,0.32,0.06,0.96
2159,Sonic Unleashed,0.54,0.33,0.96
2160,Lost Planet 2,0.29,0.34,0.96
2161,NHL 2001,0.47,0.37,0.96
2162,Dragon Quest Monsters: Terry's Wonderland 3D,0,0,0.96
2163,My Weight Loss Coach,0.3,0.54,0.96
2164,Tom Clancy's Ghost Recon: Future Soldier,0.41,0.33,0.96
2165,Mega Man Star Force Dragon / Leo / Pegasus,0.39,0,0.96
2166,Shinobi,0.36,0.28,0.96
2167,Mortal Kombat: Deadly Alliance,0.77,0.15,0.96
2168,The Witcher 2: Assassins of Kings,0.25,0.56,0.96
2169,PilotWings Resort,0.4,0.36,0.96
2170,Naruto Shippuden: Ultimate Ninja Storm 3,0.32,0.33,0.96
2171,LEGO Jurassic World,0.47,0.4,0.95
2172,ESPN NBA 2K5,0.88,0.04,0.95
2174,World Championship Poker,0.8,0.03,0.95
2175,Tom Clancy's Splinter Cell: Chaos Theory,0.36,0.45,0.95
2176,SpongeBob SquarePants: Battle for Bikini Bottom,0.74,0.19,0.95
2177,South Park: The Stick of Truth,0.57,0.3,0.95
2178,Ben 10: Alien Force,0.65,0.22,0.95
2179,SingStar Abba,0.27,0.51,0.95
2180,Cars 2,0.46,0.39,0.95
2181,Wild ARMs,0.26,0.17,0.95
2182,Kessen,0.27,0.21,0.95
2183,Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel,0.68,0.25,0.95
2184,NCAA Football 2000,0.53,0.36,0.95
2185,Brutal Legend,0.54,0.28,0.95
2186,Skylanders: Spyro's Adventure,0.39,0.4,0.95
2187,Guitar Hero: Metallica,0.41,0.43,0.95
2188,Evolve,0.35,0.41,0.95
2189,WWE SmackDown vs. Raw 2009,0.51,0.31,0.95
2190,Army of Two: The 40th Day,0.62,0.24,0.95
2191,Tony Hawk: RIDE,0.7,0.17,0.95
2192,Lego Batman 3: Beyond Gotham,0.48,0.38,0.95
2193,Wii Play: Motion,0.24,0.43,0.95
2194,Killzone,0.79,0.03,0.94
2195,The Tomb Raider Trilogy,0.27,0.5,0.94
2196,Colin McRae Rally 04,0.01,0.71,0.94
2197,Star Fox 64 3D,0.48,0.27,0.94
2198,The SpongeBob SquarePants Movie,0.73,0.19,0.94
2199,Rocksmith 2014,0.69,0.17,0.94
2200,Midway Presents Arcade's Greatest Hits: The Atari Collection 1,0.52,0.36,0.94
2201,Cars,0.83,0.04,0.94
2202,Assassin's Creed III,0.28,0.53,0.94
2203,Castlevania: Lament of Innocence,0.46,0.36,0.94
2204,Mario Tennis Open,0.26,0.29,0.94
2205,The Witcher 2: Assassins of Kings,0.48,0.36,0.94
2206,Bayonetta,0.51,0.26,0.94
2207,Destroy All Humans!,0.78,0.03,0.94
2208,MVP Baseball 2005,0.7,0.2,0.94
2209,SaGa Frontier 2,0.1,0.07,0.94
2210,NCAA Football 10,0.87,0,0.94
2211,MLB 2000,0.52,0.35,0.94
2212,The Legend of Zelda: Twilight Princess HD,0.48,0.3,0.94
2213,Bully,0.75,0.03,0.94
2214,Prince of Persia: The Sands of Time,0.57,0.33,0.94
2215,Phantasy Star Portable,0.19,0.06,0.94
2216,Hot Shots Golf Fore!,0.46,0.36,0.94
2217,MLB 06: The Show,0.78,0.03,0.94
2218,NHL 2003,0.46,0.36,0.93
2219,Operation Flashpoint: Dragon Rising,0.36,0.45,0.93
2220,Nickelodeon Fit,0.78,0.09,0.93
2221,Buzz! Quiz World,0.16,0.58,0.93
2222,Bentley's Hackpack,0.67,0.25,0.93
2223,Tony Hawk's Pro Skater 4,0.59,0.3,0.93
2224,Borderlands 2,0.42,0.41,0.93
2225,EA Sports Grand Slam Tennis,0.29,0.52,0.93
2226,White Knight Chronicles: International Edition,0.33,0.16,0.93
2227,SSX,0.35,0.42,0.93
2228,Sonic Riders: Zero Gravity,0.5,0.32,0.93
2229,LEGO Jurassic World,0.34,0.44,0.93
2230,Build-A-Bear Workshop,0.85,0.01,0.93
2231,Crash City Mayhem,0.67,0.25,0.93
2232,Spider-Man,0.87,0.05,0.93
2233,Mega Man 4,0.51,0.09,0.93
2234,Castlevania II: Simon's Quest,0.45,0.06,0.93
2235,Toy Story 2: Buzz Lightyear to the Rescue!,0.71,0.2,0.93
2236,Teenage Mutant Ninja Turtles,0.67,0.25,0.93
2237,MLB 07: The Show,0.77,0.03,0.93
2238,Skylanders: Trap Team,0.54,0.31,0.93
2239,Cars,0.72,0.19,0.93
2240,Brothers in Arms: Hell's Highway,0.44,0.34,0.93
2241,Inazuma Eleven 3,0,0,0.93
2242,Pokken Tournament,0.47,0.22,0.93
2243,SnoCross Championship Racing,0.52,0.35,0.93
2244,Teenage Mutant Ninja Turtles,0.45,0.35,0.92
2245,Top Gun: Combat Zones,0.45,0.35,0.92
2246,Blue Dragon,0.3,0.33,0.92
2247,007: The World is not Enough,0.51,0.35,0.92
2248,NCAA Football 11,0.86,0,0.92
2249,NHL 98,0.51,0.35,0.92
2250,FIFA Street,0.17,0.65,0.92
2251,EA Sports Active 2,0.52,0.28,0.92
2252,SpongeBob SquarePants: The Yellow Avenger,0.55,0.21,0.92
2253,WWE SmackDown vs. Raw 2009,0.58,0.26,0.92
2254,Dante's Inferno,0.63,0.2,0.92
2255,Wipeout: In The Zone,0.87,0,0.92
2256,Space Jam,0.51,0.35,0.92
2257,Kung Fu Panda,0.5,0.32,0.92
2258,Knockout Kings 2000,0.63,0.27,0.92
2259,Balloon Fight,0.39,0.09,0.92
2260,Assassin's Creed,0.01,0.83,0.92
2261,Disney Magical World,0.16,0.2,0.92
2262,Crysis 3,0.51,0.33,0.92
2263,Lego Batman 3: Beyond Gotham,0.37,0.39,0.92
2264,Dynasty Warriors 7,0.25,0.14,0.92
2265,The Evil Within,0.26,0.39,0.92
2266,MLB 12: The Show,0.86,0,0.92
2267,Sonic Riders,0.71,0.18,0.92
2268,Starsky & Hutch,0.45,0.35,0.92
2269,Tobal No.1,0.12,0.08,0.92
2270,Lost Odyssey,0.45,0.27,0.92
2271,MLB 15: The Show,0.67,0.08,0.92
2272,Operation Flashpoint: Dragon Rising,0.23,0.46,0.92
2273,Homefront,0.32,0.4,0.91
2274,AMF Bowling Pinbusters!,0.85,0,0.91
2275,Street Hoops,0.45,0.35,0.91
2276,Avatar: The Game,0.32,0.43,0.91
2277,Harvest Moon 3D: A New Beginning,0.41,0.17,0.91
2278,Tom Clancy's EndWar,0.58,0.24,0.91
2279,Knockout Kings 2002,0.45,0.35,0.91
2280,Tokyo Xtreme Racer 3,0.35,0.27,0.91
2281,LEGO Indiana Jones 2: The Adventure Continues,0.47,0.3,0.91
2282,Colin McRae Rally 2.0,0.02,0.8,0.91
2283,Glover,0.72,0.17,0.91
2284,MX vs. ATV Reflex,0.52,0.26,0.91
2285,Minecraft: Story Mode,0.46,0.38,0.91
2287,Marvel: Ultimate Alliance 2,0.68,0.15,0.91
2288,Call of Duty: World at War,0.57,0.26,0.91
2289,Super Momotarou Dentetsu III,0,0,0.91
2290,Sonic Mega Collection Plus,0.61,0.26,0.91
2291,DJ Hero,0.42,0.34,0.91
2292,Dragon Age: Inquisition,0.55,0.28,0.91
2293,The Simpsons Game,0.38,0.37,0.91
2294,Tiger Woods PGA Tour 2002,0.44,0.35,0.9
2296,Mini-Yonku Shining Scorpion: Let's & Go!!,0,0,0.9
2297,MLB 2005,0.44,0.35,0.9
2298,SOCOM 4: U.S. Navy SEALs,0.66,0.12,0.9
2299,Burnout Revenge,0.75,0.03,0.9
2300,Buzz! Quiz TV,0.28,0.48,0.9
2301,We Ski & Snowboard,0.38,0.29,0.9
2302,Destruction Derby,0.5,0.34,0.9
2303,TouchMaster 2,0.3,0.49,0.9
2304,Crysis 3,0.26,0.43,0.9
2305,3Xtreme,0.5,0.34,0.9
2306,Hot Shots Tennis,0.17,0.13,0.9
2307,Sonic Heroes,0.41,0.43,0.9
2308,Resistance: Retribution,0.27,0.36,0.9
2309,Tiger Woods PGA Tour 12: The Masters,0.52,0.26,0.9
2310,Star Wars: The Force Unleashed,0.51,0.29,0.9
2311,Madden NFL 99,0.84,0.05,0.9
2312,Spider-Man 3,0.74,0.03,0.9
2313,James Bond 007: Agent Under Fire,0.65,0.22,0.9
2314,Samba De Amigo,0.42,0.37,0.9
2315,The Elder Scrolls Online,0.32,0.48,0.9
2316,Pure,0.42,0.33,0.9
2317,FIFA Soccer 09 All-Play,0.29,0.52,0.9
2318,Fossil Fighters,0.84,0,0.9
2319,LittleBigPlanet Karting,0.42,0.32,0.9
2320,X-Men Legends,0.62,0.24,0.9
2321,NBA Live 2005,0.81,0.05,0.9
2322,Harry Potter: Quidditch World Cup,0.44,0.34,0.9
2323,The Biggest Loser: Ultimate Workout,0.73,0.1,0.9
2324,Madagascar,0.62,0.24,0.89
2325,Call of Juarez: Bound in Blood,0.35,0.38,0.89
2326,Killzone: Liberation,0.44,0.28,0.89
2327,Madden NFL 08,0.82,0.01,0.89
2328,Blitz: The League,0.74,0.03,0.89
2329,LEGO Jurassic World,0.32,0.42,0.89
2330,Castlevania: Circle of the Moon,0.6,0.22,0.89
2331,Sonic Chronicles: The Dark Brotherhood,0.51,0.29,0.89
2332,Tiger Woods PGA Tour 06,0.74,0.03,0.89
2333,Classic NES Series: The Legend of Zelda,0.46,0.17,0.89
2334,The Jak and Daxter Collection,0.6,0.19,0.89
2335,Fire Emblem: The Sacred Stones,0.42,0.16,0.89
2336,Pokemon Card GB2: Here Comes Team GR!,0,0,0.89
2337,Finding Nemo,0.69,0.18,0.89
2338,CSI: Hard Evidence,0.36,0.43,0.89
2339,Ace Combat 2,0.16,0.11,0.89
2340,F1 2009,0.15,0.63,0.89
2341,NFL 2K2,0.44,0.34,0.89
2342,EA Sports UFC 2,0.28,0.47,0.89
2343,Dissidia 012: Duodecim Final Fantasy,0.21,0.13,0.89
2344,LEGO Marvel Super Heroes,0.42,0.36,0.89
2345,F1 2010,0.18,0.59,0.89
2346,Monster 4X4: World Circuit,0.81,0,0.89
2347,Call of Duty: Modern Warfare 2,0.01,0.79,0.89
2348,Wii Fit U,0.39,0.24,0.89
2349,Kingdoms of Amalur: Reckoning,0.55,0.25,0.89
2350,Call of Duty: Modern Warfare 3,0.6,0.21,0.89
2351,MLB 2001,0.49,0.34,0.89
2352,SingStar Anthems,0,0.68,0.89
2353,Seiken Densetsu 3,0,0,0.89
2354,Mega Man 8 Anniversary Collector's Edition,0.44,0.3,0.88
2355,WWE SmackDown vs. Raw 2011,0.44,0.36,0.88
2356,Sleeping Dogs,0.38,0.41,0.88
2357,Grand Theft Auto IV,0.01,0.79,0.88
2358,Peppa Pig: The Game,0,0.82,0.88
2359,Michael Jackson: The Experience,0.62,0.2,0.88
2360,Ghostbusters: The Video Game,0.6,0.21,0.88
2361,Rock Band 3,0.73,0.1,0.88
2362,Resident Evil: Revelations,0.3,0.22,0.88
2363,NBA 2K6,0.43,0.34,0.88
2364,Buzz! The Mega Quiz,0.32,0.06,0.88
2365,Endless Ocean: Blue World,0.47,0.22,0.88
2366,Star Wars: Rebel Assault II - The Hidden Empire,0.49,0.33,0.88
2367,Just Cause 3,0.42,0.38,0.88
2368,Metal Gear Ac!d,0.32,0.26,0.88
2369,Cooking Mama: World Kitchen,0.51,0.28,0.88
2370,Tekken Tag Tournament 2,0.28,0.33,0.88
2371,ESPN NHL 2K5,0.43,0.33,0.88
2372,GRID,0.33,0.44,0.88
2373,Phantasy Star Portable 2,0.08,0.11,0.88
2374,Crimson Skies: High Road to Revenge,0.65,0.19,0.87
2375,Spec Ops: Ranger Elite,0.49,0.33,0.87
2376,Gex,0.49,0.33,0.87
2377,NBA 2K14,0.7,0.11,0.87
2378,DiRT,0.38,0.4,0.87
2379,Derby Stallion II,0,0,0.87
2380,Gold's Gym: Dance Workout,0.71,0.11,0.87
2381,Red Faction: Guerrilla,0.48,0.29,0.87
2382,Tom Clancy's Ghost Recon: Island Thunder,0.61,0.24,0.87
2383,Mercenaries 2: World in Flames,0.29,0.4,0.87
2384,Need for Speed: V-Rally,0.43,0.29,0.87
2385,Kingdom Hearts Re: Chain of Memories,0.73,0.03,0.87
2386,Pictionary,0.61,0.19,0.87
2387,NCAA Football 13,0.82,0,0.87
2388,Kingdoms of Amalur: Reckoning,0.37,0.3,0.87
2389,NFL GameDay '97,0.48,0.33,0.87
2390,Beijing 2008,0.14,0.54,0.87
2391,The House of the Dead: Overkill,0.46,0.31,0.87
2392,Tony Hawk's Project 8,0.72,0.03,0.87
2393,Injustice: Gods Among Us,0.46,0.29,0.87
2394,NHL 2000,0.48,0.33,0.87
2395,Buzz! Master Quiz,0.2,0.44,0.87
2396,Brothers in Arms: Hell's Highway,0.47,0.31,0.87
2397,Fight Night Round 2,0.72,0.03,0.87
2398,Wizards of Waverly Place,0.59,0.2,0.87
2399,Scooby-Doo! First Frights,0.63,0.17,0.87
2400,Conflict: Desert Storm,0.48,0.37,0.87
2401,Triple Play 2002,0.43,0.33,0.87
2402,Vagrant Story,0.3,0.2,0.87
2403,Lemmings,0.12,0.52,0.87
2404,Warriors Orochi,0.11,0.09,0.87
2405,Guitar Hero: Warriors of Rock,0.47,0.32,0.87
2406,Enduro,0.81,0.05,0.87
2407,Tales of Xillia 2,0.2,0.15,0.87
2408,SingStar '90s,0.1,0.59,0.87
2409,Monster Strike 3DS,0,0,0.86
2410,Tomb Raider: Anniversary,0.12,0.63,0.86
2411,Winning Eleven: Pro Evolution Soccer 2007,0.01,0.72,0.86
2412,Darksiders II,0.35,0.37,0.86
2413,Ghostbusters: The Video Game,0.34,0.37,0.86
2414,The World Ends With You,0.54,0.06,0.86
2416,Rocky,0.42,0.33,0.86
2417,Dragon Quest VIII: Journey of the Cursed King,0,0,0.86
2418,Ford Racing,0.48,0.33,0.86
2419,Madden Football 64,0.81,0.04,0.86
2420,MLB 99,0.48,0.32,0.86
2421,Dragon Ball Z: Burst Limit,0.22,0.34,0.86
2423,The Legendary Starfy,0.61,0,0.86
2424,2010 FIFA World Cup South Africa,0.32,0.43,0.86
2425,Dynasty Warriors 4: Xtreme Legends,0.17,0.13,0.86
2426,Ninja Gaiden Sigma 2,0.52,0.16,0.86
2427,Forza Horizon 2,0.35,0.43,0.85
2428,Skate 2,0.46,0.26,0.85
2429,FIFA Soccer 08,0.1,0.65,0.85
2430,Army Men: Air Attack,0.47,0.32,0.85
2431,Need for Speed: Nitro,0.46,0.31,0.85
2432,Madden NFL 09 All-Play,0.78,0.01,0.85
2433,NBA 2K8,0.79,0,0.85
2434,Far Cry: Primal,0.46,0.32,0.85
2435,Street Fighter Alpha 2,0.14,0.09,0.85
2436,Tiger Woods PGA Tour 2005,0.64,0.18,0.85
2437,Army of Two: The 40th Day,0.44,0.27,0.85
2438,Blazing Angels: Squadrons of WWII,0.74,0.04,0.85
2439,Castlevania III: Dracula's Curse,0.4,0.07,0.85
2440,Harry Potter and the Order of the Phoenix,0.28,0.47,0.85
2441,Rampage World Tour,0.47,0.32,0.85
2442,Burnout Legends,0.7,0.06,0.85
2443,WWE 2K15,0.36,0.35,0.85
2444,Overwatch,0.52,0.25,0.85
2445,Ratatouille,0.31,0,0.85
2446,NFL GameDay,0.47,0.32,0.85
2447,Burnout 2: Point of Impact,0.42,0.32,0.85
2448,Kirby: Planet Robobot,0.26,0.1,0.85
2449,Street Fighter EX3,0.32,0.25,0.85
2450,Karaoke Revolution Glee,0.52,0.25,0.85
2451,Sniper Elite V2,0.46,0.29,0.85
2452,Thief (2014),0.28,0.37,0.84
2453,Spider-Man 2,0.65,0.17,0.84
2454,Golden Sun: Dark Dawn,0.56,0.11,0.84
2455,Tiger Woods PGA Tour 11,0.37,0.34,0.84
2456,Devil May Cry HD Collection,0.42,0.21,0.84
2457,MLB 16: The Show,0.68,0,0.84
2458,NBA 2K10,0.75,0.01,0.84
2459,Xenoblade Chronicles X,0.36,0.28,0.84
2460,Petz Dogz Fashion,0.46,0.3,0.84
2461,The Incredibles,0.65,0.17,0.84
2462,NCAA Football 11,0.79,0,0.84
2463,Dragon Age II,0.4,0.27,0.84
2464,ATV Quad Power Racing 2,0.41,0.32,0.84
2465,Harvest Moon: Tree of Tranquility,0.69,0.03,0.84
2466,Final Fantasy,0.32,0,0.84
2467,Street Fighter X Tekken,0.42,0.22,0.84
2468,Rocket Power: Team Rocket Rescue,0.47,0.32,0.84
2469,Duke Nukem Forever,0.52,0.25,0.84
2470,Big Mutha Truckers,0.41,0.32,0.84
2471,Borderlands: The Handsome Collection,0.36,0.32,0.84
2472,Rogue Galaxy,0.24,0.16,0.84
2473,ESPN College Hoops 2K5,0.41,0.32,0.84
2474,Metroid: Zero Mission,0.6,0.22,0.84
2475,FIFA 15,0.13,0.48,0.84
2476,Time Crisis 4,0.32,0.33,0.84
2477,Ben 10: Protector of Earth,0.09,0,0.84
2478,Need for Speed Rivals,0.37,0.38,0.84
2479,Q*bert,0.46,0.32,0.84
2480,WWE SmackDown vs. Raw 2009,0.44,0.31,0.83
2481,Ace Combat 3: Electrosphere,0.22,0.15,0.83
2482,Dynasty Warriors 2,0.24,0.19,0.83
2483,Battle of Giants: Dinosaurs,0.38,0.37,0.83
2485,Lizzie McGuire 2: Lizzie Diaries,0.6,0.22,0.83
2486,Borderlands 2,0.43,0.21,0.83
2487,FIFA Soccer World Championship,0.27,0.21,0.83
2488,Brute Force,0.62,0.18,0.83
2489,Dance Central 3,0.57,0.2,0.83
2490,Yu-Gi-Oh! Dark Duel Stories,0,0,0.83
2491,The Game of Life,0.46,0.31,0.83
2492,Mega Man Legends,0.39,0.26,0.83
2493,NCAA Football 12,0.78,0,0.83
2494,Sly 3: Honor Among Thieves,0.69,0.03,0.83
2495,The Price is Right,0.77,0,0.83
2496,Sid Meier's Civilization Revolution,0.58,0.17,0.83
2498,I Spy: Fun House,0.77,0,0.83
2499,The Amazing Spider-Man (Console Version),0.31,0.37,0.83
2500,Dragon Ball: Raging Blast 2,0.42,0.2,0.83
2501,MediEvil,0.46,0.31,0.83
2502,Casper,0.46,0.31,0.83
2503,Deca Sports 2,0.33,0.34,0.82
2504,James Bond 007: Nightfire,0.58,0.22,0.82
2505,Madden NFL 17,0.72,0.02,0.82
2506,Tony Hawk's Underground 2 Remix,0.46,0.21,0.82
2507,Tony Hawk's Pro Skater 3,0.64,0.17,0.82
2508,Marvel: Ultimate Alliance,0.69,0.03,0.82
2509,Star Wars The Clone Wars: Republic Heroes,0.44,0.3,0.82
2510,DJ Hero 2,0.64,0.12,0.82
2511,Street Fighter V,0.35,0.26,0.82
2512,Need for Speed: Hot Pursuit 2,0.68,0.11,0.82
2513,Clu Clu Land,0.42,0.1,0.82
2514,Killer Instinct Gold,0.61,0.19,0.82
2515,Amped: Freestyle Snowboarding,0.69,0.11,0.82
2516,Custer's Revenge,0.76,0.05,0.82
2517,MediEvil: Resurrection,0.19,0.41,0.82
2518,DmC: Devil May Cry,0.24,0.28,0.82
2519,Tales of the Abyss,0.42,0.19,0.82
2520,Rocket Power: Beach Bandits,0.4,0.31,0.82
2521,Guitar Hero: Warriors of Rock,0.33,0.35,0.82
2522,Hasbro Family Game Night 3,0.47,0.28,0.82
2523,Madden NFL 16,0.56,0.11,0.82
2524,Stranglehold,0.4,0.33,0.82
2525,Imagine: Rock Star,0.4,0.33,0.82
2526,Shin Megami Tensei: Persona 4,0.34,0.04,0.82
2527,SingStar Vol. 2,0.29,0.4,0.82
2529,Madden NFL 25,0.62,0.13,0.82
2530,Twisted Metal (2012),0.67,0.07,0.82
2531,Dragon Warrior III,0,0,0.81
2532,Disney's The Little Mermaid: Ariel's Undersea Adventure,0.73,0.03,0.81
2533,Ready 2 Rumble Boxing: Round 2,0.4,0.31,0.81
2534,Kamaitachi no Yoru,0,0,0.81
2535,Patapon,0.33,0.25,0.81
2536,Tales of Destiny II,0.06,0.04,0.81
2537,Super Bomberman 2,0,0,0.81
2538,NASCAR 2001,0.45,0.31,0.81
2539,EA Sports Active NFL Training Camp,0.77,0,0.81
2540,The Legend of Zelda: Four Swords Adventures,0.63,0.16,0.81
2541,Jikkyou Powerful Pro Yakyuu '99 Kaimakuban,0,0,0.81
2542,Guitar Hero Live,0.32,0.35,0.81
2543,Valkyrie Profile,0.07,0.05,0.81
2544,Final Fantasy Type-0,0,0,0.81
2545,Pro Evolution Soccer 2010,0.12,0.58,0.81
2546,Army Men: Sarge's Heroes,0.68,0.12,0.81
2547,Mega Man,0.45,0.08,0.81
2548,Tom Clancy's Rainbow Six 3,0.4,0.31,0.81
2549,Lego Batman 3: Beyond Gotham,0.33,0.35,0.81
2550,EarthBound,0,0,0.81
2551,DiRT 2,0.32,0.4,0.81
2552,Professor Layton vs Phoenix Wright: Ace Attorney,0.2,0.26,0.81
2553,The Next Tetris,0.45,0.31,0.81
2554,Dying Light,0.43,0.3,0.81
2555,NCAA Football 10,0.75,0,0.81
2556,Ben 10: Alien Force,0.52,0.21,0.81
2557,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,0,0,0.81
2558,Final Fantasy XI: Wings of the Goddess,0.35,0.27,0.81
2559,The Sims 2,0.67,0.03,0.81
2560,Guitar Hero: Metallica,0.52,0.21,0.81
2561,NCAA Football 14,0.75,0,0.8
2562,MadWorld,0.46,0.25,0.8
2563,Fight Night Champion,0.4,0.33,0.8
2564,Who wants to be a millionaire,0.45,0.3,0.8
2565,Yakuza,0.03,0.02,0.8
2566,Star Wars Rogue Squadron III: Rebel Strike,0.62,0.16,0.8
2567,ABBA: You Can Dance,0.19,0.5,0.8
2568,Moto Racer,0.45,0.3,0.8
2569,Hitman: Contracts,0.39,0.31,0.8
2570,The Sims 2: Pets,0.19,0.39,0.8
2571,Final Fantasy Anthology,0.45,0.3,0.8
2572,Aliens: Colonial Marines,0.36,0.37,0.8
2573,Pro Evolution Soccer 2010,0.09,0.33,0.8
2574,[Prototype 2],0.48,0.25,0.8
2575,Sonic & SEGA All-Stars Racing with Banjo-Kazooie,0.37,0.35,0.8
2576,Goldeneye 007: Reloaded,0.33,0.35,0.8
2577,NBA 2K16,0.44,0.19,0.8
2578,All Star Cheer Squad,0.43,0.29,0.8
2579,The Sims 2: Castaway,0.08,0.46,0.8
2580,Prince of Persia: Warrior Within,0.48,0.28,0.8
2581,Dragon's Dogma,0.42,0.24,0.8
2582,Darksiders II,0.45,0.28,0.8
2583,Resident Evil: Revelations,0.14,0.32,0.8
2584,Rayman Raving Rabbids 2,0.73,0.01,0.8
2585,Super Robot Taisen α,0,0,0.8
2587,Need for Speed: Hot Pursuit 2,0.68,0.09,0.8
2588,Star Wars: The Force Unleashed II,0.54,0.19,0.8
2589,Band Hero,0.51,0.22,0.8
2590,Mario & Sonic at the Sochi 2014 Olympic Winter Games,0.39,0.22,0.8
2591,Tales of Destiny 2,0,0,0.8
2592,Capcom's Soccer Shootout,0,0,0.8
2593,Sniper: Ghost Warrior,0.26,0.36,0.8
2594,The Godfather II,0.47,0.24,0.79
2595,pro evolution soccer 2011,0.05,0.3,0.79
2596,Alien,0.74,0.04,0.79
2597,Dragon Ball Z: Budokai Tenkaichi 2,0.66,0.02,0.79
2598,The Walking Dead: Season One,0.4,0.25,0.79
2599,Rayman Origins,0.38,0.34,0.79
2600,Guitar Hero: Aerosmith,0.61,0,0.79
2601,Ridge Racer,0,0,0.79
2602,Final Fantasy Tactics A2: Grimoire of the Rift,0.42,0.03,0.79
2603,Harvest Moon: A Wonderful Life,0.61,0.16,0.79
2604,Momotarou Dentetsu 7,0,0,0.79
2605,Invizimals,0.17,0.51,0.79
2606,Motocross Mania,0.44,0.3,0.79
2607,Tiger Woods PGA Tour 10,0.42,0.25,0.79
2608,Star Wars The Clone Wars: Jedi Alliance,0.62,0.11,0.79
2609,WCW Mayhem,0.63,0.15,0.79
2610,Mega Man 5,0.39,0.07,0.79
2611,Star Ocean: The Last Hope,0.32,0.2,0.79
2612,Dance Dance Revolution SuperNOVA 2,0.64,0.03,0.79
2613,Armored Core 2,0.28,0.22,0.79
2614,Dragon Quest Monsters 2,0,0,0.79
2615,Ghost Squad,0.42,0.21,0.79
2616,Dead Island: Riptide,0.44,0.27,0.79
2617,Drawn to Life,0.71,0.02,0.79
2618,Major League Baseball Featuring Ken Griffey Jr,0.75,0.03,0.79
2619,FIFA 12,0.16,0.52,0.79
2620,Too Human,0.38,0.3,0.79
2621,Sid Meier's Civilization Revolution,0.49,0.19,0.79
2622,NCAA Football 08,0.65,0.03,0.79
2623,FIFA Soccer 2004,0.24,0.49,0.79
2624,Personal Trainer: Walking,0.22,0.32,0.79
2625,Naruto Shippuden: Ultimate Ninja Storm 2,0.43,0.27,0.79
2626,PokePark 2: Wonders Beyond,0.27,0.2,0.79
2627,Professor Layton and the Azran Legacy,0,0.48,0.78
2628,Tom Clancy's Splinter Cell: Double Agent,0.67,0.05,0.78
2629,Yars' Revenge,0.73,0.04,0.78
2630,Lips,0.12,0.56,0.78
2631,Secret Agent Barbie: Royal Jewels Mission,0.56,0.21,0.78
2632,Metroid Prime Hunters,0.58,0.04,0.78
2633,The 7th Guest,0.01,0.77,0.78
2634,Doom,0.43,0.3,0.78
2635,Buzz! The Hollywood Quiz,0.17,0,0.78
2636,Puzzler World,0.41,0.3,0.78
2637,My Little Pony: Pinkie Pie's Party,0.72,0,0.78
2638,We Sing,0,0.69,0.78
2639,Marvel vs. Capcom: Clash of Super Heroes,0.43,0.3,0.78
2640,God of War Saga,0.72,0,0.78
2641,Battle Stations,0.43,0.29,0.78
2642,Tetris Party Deluxe,0.29,0.3,0.78
2643,Pro Evolution Soccer 2016,0.13,0.42,0.78
2644,Worms: Open Warfare,0.11,0.43,0.78
2645,Star Wars Battlefront: Elite Squadron,0.38,0.24,0.78
2646,UFC Personal Trainer: The Ultimate Fitness System,0.53,0.19,0.78
2647,Resident Evil: Operation Raccoon City,0.55,0.15,0.78
2648,NBA 2K7,0.65,0.02,0.78
2649,Need for Speed: ProStreet,0.24,0.33,0.78
2650,Toy Story 3: The Video Game,0.41,0.29,0.78
2651,Torneko no Daibouken: Fushigi no Dungeon,0,0,0.78
2652,Jr. Pac-Man,0.72,0.05,0.78
2653,James Bond 007: Nightfire,0.6,0.16,0.78
2654,Banjo-Kazooie: Nuts & Bolts,0.32,0.36,0.78
2655,NBA ShootOut 98,0.43,0.29,0.78
2656,Avatar: The Game,0.34,0.35,0.78
2657,Harry Potter and the Half-Blood Prince,0.28,0.4,0.77
2658,DJ Hero,0.47,0.23,0.77
2659,Perfect Dark Zero,0.66,0.02,0.77
2660,Galaxian,0.72,0.05,0.77
2661,Andretti Racing,0.43,0.29,0.77
2662,Caesars Palace 2000: Millennium Gold Edition,0.43,0.29,0.77
2663,Madden NFL 25,0.67,0.05,0.77
2664,Air Raid,0.72,0.04,0.77
2665,Need For Speed: Undercover,0.23,0.32,0.77
2666,Duke Nukem Forever,0.33,0.31,0.77
2667,Freedom Wars,0.22,0.14,0.77
